7-Zip 23.01 (x64) (Versiyon: 23.01, Yayıncı: Igor Pavlov)
Application Verifier x64 External Package (Versiyon: 10.1.22000.832, Yayıncı: Microsoft)
Audacity 3.3.3 (Versiyon: 3.3.3, Yayıncı: Audacity Team)
AutoCAD 2023 - English (Versiyon: 24.2.53.0, Yayıncı: Autodesk)
AutoCAD 2023 Shared (Versiyon: 24.2.53.0, Yayıncı: Autodesk)
AutoCAD 2023 Shared Language Pack - English (Versiyon: 24.2.53.0, Yayıncı: Autodesk)
AutoCAD Electrical 2023 (Versiyon: 20.0.53.0, Yayıncı: Autodesk)
AutoCAD Electrical 2023 - English (Versiyon: 20.0.53.0, Yayıncı: Autodesk)
AutoCAD Electrical 2023 Content Language Pack - English (Versiyon: 20.0.53.0, Yayıncı: Autodesk)
AutoCAD Electrical 2023 Content Pack (Versiyon: 20.0.53.0, Yayıncı: Autodesk)
AutoCAD Electrical 2023 Language Pack - English (Versiyon: 20.0.53.0, Yayıncı: Autodesk)
AutoCAD Open in Desktop (Versiyon: 1.0.26.0, Yayıncı: Autodesk)
Autodesk App Manager (Versiyon: 3.3.0, Yayıncı: Autodesk)
Autodesk AutoCAD 2023 - English (Versiyon: 24.2.53.0, Yayıncı: Autodesk, Inc.)
Autodesk AutoCAD Electrical 2023 - English (Versiyon: 20.0.53.0, Yayıncı: Autodesk, Inc.)
Autodesk AutoCAD Performance Feedback Tool 1.3.12 (Versiyon: 1.3.12.0, Yayıncı: Autodesk)
Autodesk Desktop App (Versiyon: 8.5.0.17, Yayıncı: Autodesk)
Autodesk Featured Apps (Versiyon: 3.3.0, Yayıncı: Autodesk)
Autodesk Genuine Service (Versiyon: 6.0.0.155, Yayıncı: Autodesk)
Autodesk Interoperability Engine Manager (Versiyon: 1.0.0.11, Yayıncı: Autodesk.com)
Autodesk Inventor Interoperability 2023 (Versiyon: 27.20.27100.0000, Yayıncı: Autodesk)
Autodesk Material Library 2022 (Versiyon: 20.3.7.0, Yayıncı: Autodesk)
Autodesk Material Library 2023 (Versiyon: 21.0.1.1, Yayıncı: Autodesk)
Autodesk Material Library Base Resolution Image Library 2022 (Versiyon: 20.3.7.0, Yayıncı: Autodesk)
Autodesk Material Library Base Resolution Image Library 2023 (Versiyon: 21.0.1.1, Yayıncı: Autodesk)
Autodesk Save to Web and Mobile (Versiyon: 3.0.30, Yayıncı: Autodesk)
Autodesk Single Sign On Component (Versiyon: 13.3.3.1803, Yayıncı: Autodesk)
Avast Update Helper (Versiyon: 1.8.1206.2, Yayıncı: AVAST Software)
Bandicam (Versiyon: 6.0.6.2034, Yayıncı: Bandicam.com)
Battlefield 3™ (Versiyon: 1.6.0.0, Yayıncı: Electronic Arts)
Blackmagic RAW Common Components (Versiyon: 3.3, Yayıncı: Blackmagic Design)
Brave (Versiyon: 118.1.59.117, Yayıncı: Brave Software Inc)
CCleaner (Versiyon: 6.16, Yayıncı: Piriform)
ClickOnce Bootstrapper Package for Microsoft .NET Framework (Versiyon: 4.8.09037, Yayıncı: Microsoft Corporation)
CrystalDiskMark 8.0.4c (Versiyon: 8.0.4c, Yayıncı: Crystal Dew World)
DB Browser for SQLite (Versiyon: 3.12.2, Yayıncı: DB Browser for SQLite Team)
DaVinci Resolve (Versiyon: 18.5.10006, Yayıncı: Blackmagic Design)
DaVinci Resolve Control Panels (Versiyon: 2.0.7.0, Yayıncı: Blackmagic Design)
DiagnosticsHub_CollectionService (Versiyon: 17.3.32601, Yayıncı: Microsoft Corporation)
Digilent Software (Versiyon: 1.2.2, Yayıncı: Digilent, Inc.)
Driver Booster 10 (Versiyon: 10.6.0, Yayıncı: IObit)
EA app (Versiyon: 13.27.0.5540, Yayıncı: Electronic Arts)
ENE IO Driver (Versiyon: 3.3.0, Yayıncı: ENE TECHNOLOGY INC.)
ENE RGB HAL (Versiyon: 1.1.28.0, Yayıncı: Ene Tech.)
Entity Framework 6.2.0 Tools  for Visual Studio 2022 (Versiyon: 6.2.0.0, Yayıncı: Microsoft Corporation)
Epic Games Launcher (Versiyon: 1.1.298.0, Yayıncı: Epic Games, Inc.)
Epic Games Launcher Prerequisites (x64) (Versiyon: 1.0.0.0, Yayıncı: Epic Games, Inc.)
Epic Online Services (Versiyon: 2.0.28.0, Yayıncı: Epic Games, Inc.)
Epson Software Updater (Versiyon: 4.6.6, Yayıncı: Seiko Epson Corporation)
FARO LS 1.1.700.0 (64bit) (Versiyon: 7.0.0.23, Yayıncı: FARO Scanner Production)
FileZilla 3.63.2 (Versiyon: 3.63.2, Yayıncı: Tim Kosse)
GPU Tweak III (Versiyon: 1.6.1.5, Yayıncı: ASUS)
GameSDK Service (Versiyon: 1.0.5.0, Yayıncı: ASUSTek COMPUTER INC.)
Google Chrome (Versiyon: 118.0.5993.70, Yayıncı: Google LLC)
Google Drive (Versiyon: 82.0.1.0, Yayıncı: Google LLC)
IIS 10.0 Express (Versiyon: 10.0.08009, Yayıncı: Microsoft Corporation)
IObit Software Updater (Versiyon: 6.1.0.10, Yayıncı: IObit)
IObit Uninstaller 13 (Versiyon: 13.0.0.13, Yayıncı: IObit)
Intel(R) C++ Redistributables on Intel(R) 64 (Versiyon: 15.0.179, Yayıncı: Intel Corporation)
IntelliTraceProfilerProxy (Versiyon: 15.0.21225.01, Yayıncı: Microsoft Corporation)
Intel® Hardware Accelerated Execution Manager (Versiyon: 7.7.0, Yayıncı: Intel Corporation)
Java 8 Update 381 (64-bit) (Versiyon: 8.0.3810.9, Yayıncı: Oracle Corporation)
Java Auto Updater (Versiyon: 2.8.381.9, Yayıncı: Oracle Corporation)
Java SE Development Kit 8 Update 351 (64-bit) (Versiyon: 8.0.3510.10, Yayıncı: Oracle Corporation)
Java(TM) SE Development Kit 19.0.1 (64-bit) (Versiyon: 19.0.1.0, Yayıncı: Oracle Corporation)
KNIME Analytics Platform (Versiyon: 4.7.0, Yayıncı: KNIME AG)
Kingston AURA DRAM Component (Versiyon: 1.0.28, Yayıncı: KINGSTON COMPONENTS INC.)
Kits Configuration Installer (Versiyon: 10.1.22000.832, Yayıncı: Microsoft)
Launcher Prerequisites (x64) (Versiyon: 1.0.0.0, Yayıncı: Epic Games, Inc.)
Logitech Gaming Software 9.04 (Versiyon: 9.04.49, Yayıncı: Logitech Inc.)
MATLAB R2022b (Versiyon: 9.13, Yayıncı: MathWorks)
MSI Development Tools (Versiyon: 10.1.22000.832, Yayıncı: Microsoft Corporation)
Microsoft .NET 6.0 Templates 7.0.400 (x64) (Versiyon: 24.7.43700, Yayıncı: Microsoft Corporation)
Microsoft .NET 7.0 Templates 7.0.102 (x64) (Versiyon: 28.5.33023, Yayıncı: Microsoft Corporation)
Microsoft .NET 7.0 Templates 7.0.400 (x64) (Versiyon: 28.6.43700, Yayıncı: Microsoft Corporation)
Microsoft .NET AppHost Pack - 6.0.21 (x64) (Versiyon: 48.87.64667, Yayıncı: Microsoft Corporation)
Microsoft .NET AppHost Pack - 6.0.21 (x64_arm) (Versiyon: 48.87.64667, Yayıncı: Microsoft Corporation)
Microsoft .NET AppHost Pack - 6.0.21 (x64_arm64) (Versiyon: 48.87.64667, Yayıncı: Microsoft Corporation)
Microsoft .NET AppHost Pack - 6.0.21 (x64_x86) (Versiyon: 48.87.64667, Yayıncı: Microsoft Corporation)
Microsoft .NET AppHost Pack - 7.0.10 (x64) (Versiyon: 56.43.64668, Yayıncı: Microsoft Corporation)
Microsoft .NET AppHost Pack - 7.0.10 (x64_arm) (Versiyon: 56.43.64668, Yayıncı: Microsoft Corporation)
Microsoft .NET AppHost Pack - 7.0.10 (x64_arm64) (Versiyon: 56.43.64668, Yayıncı: Microsoft Corporation)
Microsoft .NET AppHost Pack - 7.0.10 (x64_x86) (Versiyon: 56.43.64668, Yayıncı: Microsoft Corporation)
Microsoft .NET AppHost Pack - 7.0.2 (x64) (Versiyon: 56.11.53349, Yayıncı: Microsoft Corporation)
Microsoft .NET AppHost Pack - 7.0.2 (x64_arm) (Versiyon: 56.11.53349, Yayıncı: Microsoft Corporation)
Microsoft .NET AppHost Pack - 7.0.2 (x64_arm64) (Versiyon: 56.11.53349, Yayıncı: Microsoft Corporation)
Microsoft .NET AppHost Pack - 7.0.2 (x64_x86) (Versiyon: 56.11.53349, Yayıncı: Microsoft Corporation)
Microsoft .NET Core Host - 3.1.10 (x64) (Versiyon: 24.104.29419, Yayıncı: Microsoft Corporation)
Microsoft .NET Core Host FX Resolver - 3.1.10 (x64) (Versiyon: 24.104.29419, Yayıncı: Microsoft Corporation)
Microsoft .NET Core Runtime - 3.1.10 (x64) (Versiyon: 3.1.10.29419, Yayıncı: Microsoft Corporation)
Microsoft .NET Framework 4.7.2 Targeting Pack (Versiyon: 4.7.03062, Yayıncı: Microsoft Corporation)
Microsoft .NET Framework 4.7.2 Targeting Pack (ENU) (Versiyon: 4.7.03062, Yayıncı: Microsoft Corporation)
Microsoft .NET Framework 4.8 SDK (Versiyon: 4.8.03928, Yayıncı: Microsoft Corporation)
Microsoft .NET Framework 4.8 Targeting Pack (Versiyon: 4.8.03761, Yayıncı: Microsoft Corporation)
Microsoft .NET Framework 4.8 Targeting Pack (ENU) (Versiyon: 4.8.03761, Yayıncı: Microsoft Corporation)
Microsoft .NET Framework Cumulative Intellisense Pack for Visual Studio (ENU) (Versiyon: 4.8.09037, Yayıncı: Microsoft Corporation)
Microsoft .NET Host - 7.0.10 (x64) (Versiyon: 56.43.64668, Yayıncı: Microsoft Corporation)
Microsoft .NET Host - 7.0.10 (x86) (Versiyon: 56.43.64668, Yayıncı: Microsoft Corporation)
Microsoft .NET Host FX Resolver - 7.0.10 (x64) (Versiyon: 56.43.64668, Yayıncı: Microsoft Corporation)
Microsoft .NET Host FX Resolver - 7.0.10 (x86) (Versiyon: 56.43.64668, Yayıncı: Microsoft Corporation)
Microsoft .NET Host FX Resolver - 7.0.2 (x64) (Versiyon: 56.11.53349, Yayıncı: Microsoft Corporation)
Microsoft .NET Runtime - 6.0.21 (x64) (Versiyon: 48.87.64667, Yayıncı: Microsoft Corporation)
Microsoft .NET Runtime - 6.0.21 (x86) (Versiyon: 48.87.64667, Yayıncı: Microsoft Corporation)
Microsoft .NET Runtime - 7.0.10 (x64) (Versiyon: 56.43.64668, Yayıncı: Microsoft Corporation)
Microsoft .NET Runtime - 7.0.10 (x86) (Versiyon: 56.43.64668, Yayıncı: Microsoft Corporation)
Microsoft .NET Runtime - 7.0.2 (x64) (Versiyon: 56.11.53349, Yayıncı: Microsoft Corporation)
Microsoft .NET SDK 7.0.102 (x64) (Versiyon: 7.1.222.60703, Yayıncı: Microsoft Corporation)
Microsoft .NET SDK 7.0.400 (x64) from Visual Studio (Versiyon: 7.4.23.36916, Yayıncı: Microsoft Corporation)
Microsoft .NET Standard Targeting Pack - 2.1.0 (x64) (Versiyon: 24.0.28113, Yayıncı: Microsoft Corporation)
Microsoft .NET Targeting Pack - 6.0.21 (x64) (Versiyon: 48.87.64667, Yayıncı: Microsoft Corporation)
Microsoft .NET Targeting Pack - 6.0.21 (x86) (Versiyon: 48.87.64667, Yayıncı: Microsoft Corporation)
Microsoft .NET Targeting Pack - 7.0.10 (x64) (Versiyon: 56.43.64668, Yayıncı: Microsoft Corporation)
Microsoft .NET Targeting Pack - 7.0.10 (x86) (Versiyon: 56.43.64668, Yayıncı: Microsoft Corporation)
Microsoft .NET Targeting Pack - 7.0.2 (x64) (Versiyon: 56.11.53349, Yayıncı: Microsoft Corporation)
Microsoft .NET Toolset 7.0.102 (x64) (Versiyon: 28.5.33023, Yayıncı: Microsoft Corporation)
Microsoft .NET Toolset 7.0.400 (x64) (Versiyon: 28.6.43700, Yayıncı: Microsoft Corporation)
Microsoft 365 Apps for enterprise - en-us (Versiyon: 16.0.16827.20130, Yayıncı: Microsoft Corporation)
Microsoft ASP.NET Core 3.1.10 - Shared Framework (Versiyon: 3.1.10.20520, Yayıncı: Microsoft Corporation)
Microsoft ASP.NET Core 3.1.10 Shared Framework (x64) (Versiyon: 3.1.10.20520, Yayıncı: Microsoft Corporation)
Microsoft ASP.NET Core 6.0.21 Shared Framework (x64) (Versiyon: 6.0.21.23364, Yayıncı: Microsoft Corporation)
Microsoft ASP.NET Core 6.0.21 Shared Framework (x86) (Versiyon: 6.0.21.23364, Yayıncı: Microsoft Corporation)
Microsoft ASP.NET Core 6.0.21 Targeting Pack (x64) (Versiyon: 6.0.21.23364, Yayıncı: Microsoft Corporation)
Microsoft ASP.NET Core 6.0.21 Targeting Pack (x86) (Versiyon: 6.0.21.23364, Yayıncı: Microsoft Corporation)
Microsoft ASP.NET Core 7.0.10 Shared Framework (x64) (Versiyon: 7.0.10.23364, Yayıncı: Microsoft Corporation)
Microsoft ASP.NET Core 7.0.10 Shared Framework (x86) (Versiyon: 7.0.10.23364, Yayıncı: Microsoft Corporation)
Microsoft ASP.NET Core 7.0.10 Targeting Pack (x64) (Versiyon: 7.0.10.23364, Yayıncı: Microsoft Corporation)
Microsoft ASP.NET Core 7.0.10 Targeting Pack (x86) (Versiyon: 7.0.10.23364, Yayıncı: Microsoft Corporation)
Microsoft ASP.NET Core 7.0.2 Shared Framework (x64) (Versiyon: 7.0.2.22606, Yayıncı: Microsoft Corporation)
Microsoft ASP.NET Core 7.0.2 Targeting Pack (x64) (Versiyon: 7.0.2.22606, Yayıncı: Microsoft Corporation)
Microsoft ASP.NET Core Module V2 for IIS Express (Versiyon: 17.0.22116.0, Yayıncı: Microsoft Corporation)
Microsoft ASP.NET Core Module for IIS Express (Versiyon: 12.2.18292.0, Yayıncı: Microsoft Corporation)
Microsoft ASP.NET Diagnostic Pack for Visual Studio (Versiyon: 17.7.273.65229, Yayıncı: Microsoft Corporation)
Microsoft Command Line Utilities 15 for SQL Server (Versiyon: 15.0.1300.359, Yayıncı: Microsoft Corporation)
Microsoft Edge (Versiyon: 118.0.2088.46, Yayıncı: Microsoft Corporation)
Microsoft Edge WebView2 Runtime (Versiyon: 117.0.2045.60, Yayıncı: Microsoft Corporation)
Microsoft GameInput (Versiyon: 10.1.22621.3036, Yayıncı: Microsoft Corporation)
Microsoft ODBC Driver 17 for SQL Server (Versiyon: 17.7.2.1, Yayıncı: Microsoft Corporation)
Microsoft SQL Server 2019 LocalDB (WMIC - Bilgi Yok)
Microsoft SQL Server 2019 LocalDB  (Versiyon: 15.0.4153.1, Yayıncı: Microsoft Corporation)
Microsoft System CLR Types for SQL Server 2019 (Versiyon: 15.0.2000.5, Yayıncı: Microsoft Corporation)
Microsoft TestPlatform SDK Local Feed (Versiyon: 17.0.0.5175695, Yayıncı: Microsoft)
Microsoft Update Health Tools (Versiyon: 5.70.0.0, Yayıncı: Microsoft Corporation)
Microsoft Visual C++ 2005 Redistributable (Versiyon: 8.0.61001, Yayıncı: Microsoft Corporation)
Microsoft Visual C++ 2005 Redistributable (x64) (Versiyon: 8.0.61000, Yayıncı: Microsoft Corporation)
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161 (Versiyon: 9.0.30729.6161, Yayıncı: Microsoft Corporation)
Microsoft Visual C++ 2008 Redistributable - x86 9.0.21022 (Versiyon: 9.0.21022, Yayıncı: Microsoft Corporation)
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.17 (Versiyon: 9.0.30729, Yayıncı: Microsoft Corporation)
Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161 (Versiyon: 9.0.30729.6161, Yayıncı: Microsoft Corporation)
Microsoft Visual C++ 2010  x64 Redistributable - 10.0.40219 (Versiyon: 10.0.40219, Yayıncı: Microsoft Corporation)
Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219 (Versiyon: 10.0.40219, Yayıncı: Microsoft Corporation)
Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.60610 (Versiyon: 11.0.60610.1, Yayıncı: Microsoft Corporation)
Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.61030 (Versiyon: 11.0.61030.0, Yayıncı: Microsoft Corporation)
Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030 (Versiyon: 11.0.61030.0, Yayıncı: Microsoft Corporation)
Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61030 (Versiyon: 11.0.61030, Yayıncı: Microsoft Corporation)
Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030 (Versiyon: 11.0.61030, Yayıncı: Microsoft Corporation)
Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030 (Versiyon: 11.0.61030, Yayıncı: Microsoft Corporation)
Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030 (Versiyon: 11.0.61030, Yayıncı: Microsoft Corporation)
Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.30501 (Versiyon: 12.0.30501.0, Yayıncı: Microsoft Corporation)
Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40664 (Versiyon: 12.0.40664.0, Yayıncı: Microsoft Corporation)
Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501 (Versiyon: 12.0.30501.0, Yayıncı: Microsoft Corporation)
Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40664 (Versiyon: 12.0.40664.0, Yayıncı: Microsoft Corporation)
Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40664 (Versiyon: 12.0.40664, Yayıncı: Microsoft Corporation)
Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40664 (Versiyon: 12.0.40664, Yayıncı: Microsoft Corporation)
Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.40664 (Versiyon: 12.0.40664, Yayıncı: Microsoft Corporation)
Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.40664 (Versiyon: 12.0.40664, Yayıncı: Microsoft Corporation)
Microsoft Visual C++ 2015-2022 Redistributable (x64) - 14.36.32532 (Versiyon: 14.36.32532.0, Yayıncı: Microsoft Corporation)
Microsoft Visual C++ 2015-2022 Redistributable (x86) - 14.36.32532 (Versiyon: 14.36.32532.0, Yayıncı: Microsoft Corporation)
Microsoft Visual C++ 2022 X64 Additional Runtime - 14.36.32532 (Versiyon: 14.36.32532, Yayıncı: Microsoft Corporation)
Microsoft Visual C++ 2022 X64 Debug Runtime - 14.36.32532 (Versiyon: 14.36.32532, Yayıncı: Microsoft Corporation)
Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.36.32532 (Versiyon: 14.36.32532, Yayıncı: Microsoft Corporation)
Microsoft Visual C++ 2022 X86 Additional Runtime - 14.36.32532 (Versiyon: 14.36.32532, Yayıncı: Microsoft Corporation)
Microsoft Visual C++ 2022 X86 Debug Runtime - 14.36.32532 (Versiyon: 14.36.32532, Yayıncı: Microsoft Corporation)
Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.36.32532 (Versiyon: 14.36.32532, Yayıncı: Microsoft Corporation)
Microsoft Visual Studio Installer (Versiyon: 3.7.2179.44852, Yayıncı: Microsoft Corporation)
Microsoft Visual Studio Setup Configuration (Versiyon: 3.7.2174.19405, Yayıncı: Microsoft Corporation)
Microsoft Visual Studio Setup WMI Provider (Versiyon: 3.7.2174.19405, Yayıncı: Microsoft Corporation)
Microsoft Web Deploy 4.0 (Versiyon: 10.0.7421, Yayıncı: Microsoft Corporation)
Microsoft Windows Desktop Runtime - 6.0.21 (x64) (Versiyon: 48.87.64723, Yayıncı: Microsoft Corporation)
Microsoft Windows Desktop Runtime - 6.0.21 (x86) (Versiyon: 48.87.64723, Yayıncı: Microsoft Corporation)
Microsoft Windows Desktop Runtime - 7.0.10 (x64) (Versiyon: 56.43.64722, Yayıncı: Microsoft Corporation)
Microsoft Windows Desktop Runtime - 7.0.10 (x86) (Versiyon: 56.43.64722, Yayıncı: Microsoft Corporation)
Microsoft Windows Desktop Runtime - 7.0.2 (x64) (Versiyon: 56.11.53361, Yayıncı: Microsoft Corporation)
Microsoft Windows Desktop Targeting Pack - 6.0.21 (x64) (Versiyon: 48.87.64723, Yayıncı: Microsoft Corporation)
Microsoft Windows Desktop Targeting Pack - 6.0.21 (x86) (Versiyon: 48.87.64723, Yayıncı: Microsoft Corporation)
Microsoft Windows Desktop Targeting Pack - 7.0.10 (x64) (Versiyon: 56.43.64722, Yayıncı: Microsoft Corporation)
Microsoft Windows Desktop Targeting Pack - 7.0.10 (x86) (Versiyon: 56.43.64722, Yayıncı: Microsoft Corporation)
Microsoft Windows Desktop Targeting Pack - 7.0.2 (x64) (Versiyon: 56.11.53361, Yayıncı: Microsoft Corporation)
Microsoft XNA Framework Redistributable 4.0 Refresh (Versiyon: 4.0.30901.0, Yayıncı: Microsoft Corporation)
Microsoft.NET.Sdk.Android.Manifest-7.0.100 (x64) (Versiyon: 33.0.68, Yayıncı: Microsoft Corporation)
Microsoft.NET.Sdk.MacCatalyst.Manifest-7.0.100 (x64) (Versiyon: 16.4.7098, Yayıncı: Microsoft Corporation)
Microsoft.NET.Sdk.Maui.Manifest-7.0.100 (x64) (Versiyon: 7.0.92, Yayıncı: Microsoft Corporation)
Microsoft.NET.Sdk.iOS.Manifest-7.0.100 (x64) (Versiyon: 16.4.7098, Yayıncı: Microsoft Corporation)
Microsoft.NET.Sdk.macOS.Manifest-7.0.100 (x64) (Versiyon: 13.3.7098, Yayıncı: Microsoft Corporation)
Microsoft.NET.Sdk.tvOS.Manifest-7.0.100 (x64) (Versiyon: 16.4.7098, Yayıncı: Microsoft Corporation)
Microsoft.NET.Workload.Emscripten.net6.Manifest (x64) (Versiyon: 56.35.64642, Yayıncı: Microsoft Corporation)
Microsoft.NET.Workload.Emscripten.net7.Manifest (x64) (Versiyon: 56.35.64642, Yayıncı: Microsoft Corporation)
Microsoft.NET.Workload.Mono.Toolchain.net6.Manifest (x64) (Versiyon: 56.3.64668, Yayıncı: Microsoft Corporation)
Microsoft.NET.Workload.Mono.Toolchain.net7.Manifest (x64) (Versiyon: 56.3.64668, Yayıncı: Microsoft Corporation)
ModelSim - Intel FPGA Starter Edition 20.1.1.720 (Versiyon: 20.1, Yayıncı: Intel Corporation)
MongoDB 5.0.8 2008R2Plus SSL (64 bit) (Versiyon: 5.0.8, Yayıncı: MongoDB Inc.)
Mozilla Firefox (x64 en-US) (Versiyon: 117.0.1, Yayıncı: Mozilla)
Mozilla Maintenance Service (Versiyon: 117.0.1, Yayıncı: Mozilla)
MySQL Workbench 8.0 CE (Versiyon: 8.0.34, Yayıncı: Oracle Corporation)
NVIDIA Backend (Versiyon: 39.5.0.0, Yayıncı: NVIDIA Corporation)
NVIDIA Container (Versiyon: 1.37, Yayıncı: NVIDIA Corporation)
NVIDIA FrameView SDK 1.3.8513.32290073 (Versiyon: 1.3.8513.32290073, Yayıncı: NVIDIA Corporation)
NVIDIA GPX Common OSS binaries (POCO, OpenSSL, libprotobuf) (Versiyon: 7.1, Yayıncı: NVIDIA Corporation)
NVIDIA GeForce Experience 3.27.0.112 (Versiyon: 3.27.0.112, Yayıncı: NVIDIA Corporation)
NVIDIA Graphics Driver 550.09 (Versiyon: 550.09, Yayıncı: NVIDIA Corporation)
NVIDIA Install Application (Versiyon: 2.1002.405.0, Yayıncı: NVIDIA Corporation)
NVIDIA LocalSystem Container (Versiyon: 1.37, Yayıncı: NVIDIA Corporation)
NVIDIA Message Bus for NvContainer (Versiyon: 1.34, Yayıncı: NVIDIA Corporation)
NVIDIA NVAPI Monitor plugin for NvContainer (Versiyon: 1.0, Yayıncı: NVIDIA Corporation)
NVIDIA NetworkService Container (Versiyon: 1.37, Yayıncı: NVIDIA Corporation)
NVIDIA NodeJS (Versiyon: 3.27.0.112, Yayıncı: NVIDIA Corporation)
NVIDIA NvModuleTracker (Versiyon: 6.14.25214.24630, Yayıncı: NVIDIA Corporation)
NVIDIA Optimus Update 39.5.0.0 (Versiyon: 39.5.0.0, Yayıncı: NVIDIA Corporation)
NVIDIA PhysX System Software 9.21.0713 (Versiyon: 9.21.0713, Yayıncı: NVIDIA Corporation)
NVIDIA SHIELD Streaming (Versiyon: 7.1.32193813, Yayıncı: NVIDIA Corporation)
NVIDIA SHIELD Wireless Controller Driver (Versiyon: 3.27.0.94, Yayıncı: NVIDIA Corporation)
NVIDIA Session Container (Versiyon: 1.37, Yayıncı: NVIDIA Corporation)
NVIDIA ShadowPlay 3.27.0.112 (Versiyon: 3.27.0.112, Yayıncı: NVIDIA Corporation)
NVIDIA Telemetry Client (Versiyon: 17.1.7.0, Yayıncı: NVIDIA Corporation)
NVIDIA TelemetryApi helper for NvContainer (Versiyon: 1.37, Yayıncı: NVIDIA Corporation)
NVIDIA Update 39.5.0.0 (Versiyon: 39.5.0.0, Yayıncı: NVIDIA Corporation)
NVIDIA Update Core (Versiyon: 39.5.0.0, Yayıncı: NVIDIA Corporation)
NVIDIA User Container (Versiyon: 1.37, Yayıncı: NVIDIA Corporation)
NVIDIA Virtual Audio 4.49.0.0 (Versiyon: 4.49.0.0, Yayıncı: NVIDIA Corporation)
NVIDIA Virtual Host Controller (Versiyon: 3.05.0.1, Yayıncı: NVIDIA Corporation)
NVIDIA Watchdog Plugin for NvContainer (Versiyon: 1.37, Yayıncı: NVIDIA Corporation)
NahimicAPI 64-bit (WMIC - Bilgi Yok)
Need for Speed™ Unbound (Versiyon: 1.0.7.8250, Yayıncı: Electronic Arts)
